[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/local/lib/python3.10/dist-packages/django/core/files/locks.py first seen with mtime 1699976130.8459914
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/local/lib/python3.10/dist-packages/numpy/core/_dtype.py first seen with mtime 1699976182.4658892
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/local/lib/python3.10/dist-packages/numpy/_utils/__init__.py first seen with mtime 1699976182.4138894
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/local/lib/python3.10/dist-packages/numpy/core/_string_helpers.py first seen with mtime 1699976182.4698892
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/local/lib/python3.10/dist-packages/django/contrib/sessions/apps.py first seen with mtime 1699976130.7939916
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/local/lib/python3.10/dist-packages/django/db/models/expressions.py first seen with mtime 1699976130.8619914
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/local/lib/python3.10/dist-packages/chardet/euctwfreq.py first seen with mtime 1699976133.3619864
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/local/lib/python3.10/dist-packages/rest_framework/utils/json.py first seen with mtime 1698253552.238652
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/lib/python3.10/lzma.py first seen with mtime 1686461188.0
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/local/lib/python3.10/dist-packages/rest_framework/schemas/utils.py first seen with mtime 1698253552.2186522
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/local/lib/python3.10/dist-packages/yaml/emitter.py first seen with mtime 1699976227.6098034
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/local/lib/python3.10/dist-packages/django/db/models/constraints.py first seen with mtime 1699976130.8619914
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/local/lib/python3.10/dist-packages/django/db/models/query.py first seen with mtime 1699976130.8659914
